image_id,frame_filename,film_title,film_year,source_platform,source_url,license_status,access_date,timestamp,extraction_rate,curation_decision,notes
nosferatu_000334,nosferatu_000334.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:55:30,1 frame / 10 sec,kept,
nosferatu_000337,nosferatu_000337.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:56:00,1 frame / 10 sec,kept,
nosferatu_000338,nosferatu_000338.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:56:10,1 frame / 10 sec,kept,
nosferatu_000340,nosferatu_000340.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:56:30,1 frame / 10 sec,kept,
nosferatu_000344,nosferatu_000344.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:57:10,1 frame / 10 sec,kept,
nosferatu_000345,nosferatu_000345.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:57:20,1 frame / 10 sec,kept,
nosferatu_000349,nosferatu_000349.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:58:00,1 frame / 10 sec,kept,
nosferatu_000352,nosferatu_000352.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:58:30,1 frame / 10 sec,kept,
nosferatu_000356,nosferatu_000356.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:59:10,1 frame / 10 sec,kept,
nosferatu_000357,nosferatu_000357.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:59:20,1 frame / 10 sec,kept,
nosferatu_000358,nosferatu_000358.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:59:30,1 frame / 10 sec,kept,
nosferatu_000359,nosferatu_000359.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:59:40,1 frame / 10 sec,kept,
nosferatu_000362,nosferatu_000362.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,01:00:10,1 frame / 10 sec,kept,
